"Scientific Name","Scientific Name_url","Common Name","Status","Entity Description","ESA Listing Date","Foreign or Domestic"
"Harrisia (=Cereus) aboriginum (=gracilis)","https://ecos.fws.gov/ecp/species/2833","Aboriginal Prickly-apple","Endangered","Wherever found","11-25-2013","Domestic"
"Echinomastus erectocentrus var. acunensis","https://ecos.fws.gov/ecp/species/5785","Acuna Cactus","Endangered","Wherever found","10-31-2013","Both Domestic and Foreign"
"Zanthoxylum dipetalum var. tomentosum","https://ecos.fws.gov/ecp/species/2297","A`e","Endangered","Wherever found","10-10-1996","Domestic"
"Zanthoxylum hawaiiense","https://ecos.fws.gov/ecp/species/4645","A`e","Endangered","Wherever found","03-04-1994","Domestic"
"Zanthoxylum oahuense","https://ecos.fws.gov/ecp/species/7998","A`e","Endangered","Wherever found","10-18-2012","Domestic"
"Argyroxiphium sandwicense ssp. macrocephalum","https://ecos.fws.gov/ecp/species/387","`Ahinahina","Threatened","Wherever found","05-15-1992","Domestic"
"Argyroxiphium sandwicense ssp. sandwicense","https://ecos.fws.gov/ecp/species/262","`Ahinahina","Endangered","Wherever found","03-21-1986","Domestic"
"Solanum sandwicense","https://ecos.fws.gov/ecp/species/7342","`Aiakeakua, popolo","Endangered","Wherever found","02-25-1994","Domestic"
"Nothocestrum breviflorum","https://ecos.fws.gov/ecp/species/7493","`Aiea","Endangered","Wherever found","03-04-1994","Domestic"
"Nothocestrum latifolium","https://ecos.fws.gov/ecp/species/1061","`Aiea","Endangered","Wherever found","10-31-2016","Domestic"
"Nothocestrum peltatum","https://ecos.fws.gov/ecp/species/5366","`Aiea","Endangered","Wherever found","02-25-1994","Domestic"
"Loxops caeruleirostris","https://ecos.fws.gov/ecp/species/153","Akekee","Endangered","Wherever found","05-13-2010","Domestic"
"Hemignathus wilsoni","https://ecos.fws.gov/ecp/species/1816","akiapolaau","Endangered","Wherever found","03-11-1967","Domestic"
"Oreomystis bairdi","https://ecos.fws.gov/ecp/species/6617","Akikiki","Endangered","Wherever found","05-13-2010","Domestic"
"Euphorbia celastroides var. kaenana","https://ecos.fws.gov/ecp/species/3842","`Akoko","Endangered","Wherever found","10-29-1991","Domestic"
"Euphorbia deppeana","https://ecos.fws.gov/ecp/species/6446","`Akoko","Endangered","Wherever found","03-28-1994","Domestic"
"Euphorbia eleanoriae","https://ecos.fws.gov/ecp/species/1368","`Akoko","Endangered","Wherever found","05-13-2010","Domestic"
"Euphorbia haeleeleana","https://ecos.fws.gov/ecp/species/8432","`Akoko","Endangered","Wherever found","10-10-1996","Domestic"
"Euphorbia herbstii","https://ecos.fws.gov/ecp/species/6481","`Akoko","Endangered","Wherever found","10-10-1996","Domestic"
"Euphorbia kuwaleana","https://ecos.fws.gov/ecp/species/6308","`Akoko","Endangered","Wherever found","10-29-1991","Domestic"
"Euphorbia remyi var. kauaiensis","https://ecos.fws.gov/ecp/species/2643","`Akoko","Endangered","Wherever found","05-13-2010","Domestic"
"Euphorbia remyi var. remyi","https://ecos.fws.gov/ecp/species/6388","`Akoko","Endangered","Wherever found","05-13-2010","Domestic"
"Euphorbia rockii","https://ecos.fws.gov/ecp/species/6024","`Akoko","Endangered","Wherever found","10-10-1996","Domestic"
"Euphorbia halemanui","https://ecos.fws.gov/ecp/species/8441","''Akoko","Endangered","Wherever found","05-13-1992","Domestic"
